"geoid","income","buildingAge","area","higherEduRate","marriageRate","commuteTime","liveAloneRate","maleRate","avgAge","Site_EUI__","BBL","buildingType"
360610061001,112206.081081081,103,121128,0.855871886120996,0.104407135362015,23.2773159144893,0.568918918918919,0.420634920634921,33.0875496031746,68.8,1005690005,"Multifamily Housing"
360610063004,100766.728624535,83,132420,0.869718309859155,0.133802816901408,25.7048092868988,0.5817843866171,0.55543358946213,43.1816684961581,98.2,1005720038,"Multifamily Housing"
360610061001,112206.081081081,12,125588,0.855871886120996,0.104407135362015,23.2773159144893,0.568918918918919,0.420634920634921,33.0875496031746,87.7,1005700042,"College/University"
360610061001,112206.081081081,111,329175,0.855871886120996,0.104407135362015,23.2773159144893,0.568918918918919,0.420634920634921,33.0875496031746,127.9,1005707501,"Office"
360610063003,101465.303593556,97,269119,0.755898366606171,0.184367034834325,28.985835694051,0.622057001239157,0.478070175438596,43.3508771929825,88.2,1005730043,"Multifamily Housing"
360610063003,101465.303593556,97,56527,0.755898366606171,0.184367034834325,28.985835694051,0.622057001239157,0.478070175438596,43.3508771929825,58.6,1005730075,"Multifamily Housing"
360610063003,101465.303593556,64,107650,0.755898366606171,0.184367034834325,28.985835694051,0.622057001239157,0.478070175438596,43.3508771929825,93.5,1005737502,"Multifamily Housing"
360610063002,125413.950456323,66,77829,0.86231884057971,0.176623376623377,28.1478029294274,0.542372881355932,0.446469248291572,43.9794988610478,78.7,1005740067,"Multifamily Housing"
360610063001,126172.566371681,63,131126,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,82.8,1005760001,"Multifamily Housing"
360610063001,126172.566371681,100,113500,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,34.1,1005760046,"Office"
360610063001,126172.566371681,71,67421,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,71.1,1005760066,"Multifamily Housing"
360610063001,126172.566371681,113,60930,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,105.5,1005770015,"Residence Hall/Dormitory"
360610063001,126172.566371681,63,151500,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,59.8,1005770024,"Multifamily Housing"
360610037003,118900.911161731,173,229720,0.682196339434276,0.165634674922601,29.7190721649485,0.599088838268793,0.399723374827109,44.8741355463347,108.1,1005790047,"Office"
360610037002,125471.014492754,96,137975,0.816216216216216,0.0949895615866388,24.8384,0.623188405797101,0.394941634241245,44.9105058365759,53.7,1005800065,"Office"
360610067004,111841.957255343,97,134774,0.86117136659436,0.106412966878083,24.9919075144509,0.538807649043869,0.525801952580195,41.7615062761506,104.4,1005847501,"Multifamily Housing"
360610099001,122837.253545486,18,298794,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,106.6,1006957503,"Multifamily Housing"
360610099001,122837.253545486,19,53455,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,67.3,1006957504,"Multifamily Housing"
360610099001,122837.253545486,15,60964,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,125.4,1006957506,"Multifamily Housing"
360610099001,122837.253545486,106,83612,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,89.1,1006970023,"Office"
360610099001,122837.253545486,96,146416,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,56.3,1006970042,"Other"
360610099001,122837.253545486,18,75040,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,71.8,1006977501,"Office"
360610099001,122837.253545486,15,101000,0.800940070505288,0.133951137320977,28.3789250353607,0.560359737115185,0.563588497367355,35.4445119481571,68.6,1006990033,"Multifamily Housing"
360610083003,51305.8151609553,87,281361,0.245257452574526,0.0898741761533853,34.9486111111111,0.429906542056075,0.326951399116348,39.839469808542,122.6,1007120001,"Office"
360610083003,51305.8151609553,100,53186,0.245257452574526,0.0898741761533853,34.9486111111111,0.429906542056075,0.326951399116348,39.839469808542,115.6,1007120029,"Office"
360610089003,90846.8395461912,16,83950,0.626966292134831,0.10171102661597,31.9058219178082,0.423014586709887,0.43574144486692,32.5300380228137,69.8,1007167503,"Multifamily Housing"
